MSA,ViolentCrime,Murder,Rape,Robbery,AggravatedAssault,PropertyCrime,Burglary,Theft,MotorVehicleTheft,State,City
"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.",401.8,4.4,33.1,132.8,231.5,"2,413.50",474.4,"1,805.70",,NY,Buffalo
"Burlington, NC M.S.A.",395.3,5.1,19.8,64.4,306.1,"2,475.90",708.4,"1,666.10",101.4,NC,Burlington
"Burlington-South Burlington, VT M.S.A.",128.5,0.9,23,21.7,82.9,"1,955.40",375.4,,15.7,VT,Burlington
"California-Lexington Park, MD M.S.A.",266.1,0.9,18,45.8,201.4,"2,055.10",,"1,503.10",62,MD,California
"Canton-Massillon, OH M.S.A.",323.7,3.2,43.6,91.1,185.9,"2,568.20",652.4,"1,799.40",116.3,OH,Canton
"Cape Coral-Fort Myers, FL M.S.A.",356.1,4.4,29.5,80.9,241.3,,407,"1,270.80",123.4,FL,Cape Coral
"Cape Girardeau, MO-IL M.S.A.",447.4,3.1,46.8,69.1,328.4,"2,939.60",602,"2,176.00",161.7,MO,Cape Girardeau
"Carson City, NV M.S.A.",314.7,1.8,3.7,36.6,272.6,"1,829.70",336.7,"1,341.20",151.9,NV,Carson City
"Casper, WY M.S.A.",234.3,1.2,39.9,26.6,166.7,"2,513.40",402.2,"1,984.40",126.8,WY,Casper
"Cedar Rapids, IA M.S.A.",189.5,3,18.8,43.7,123.9,"2,350.40",532.3,"1,681.70",136.4,IA,Cedar Rapids
"Chambersburg-Waynesboro, PA M.S.A.",159.5,2,37.8,43,76.8,"1,619.80",307.3,"1,233.10",79.4,PA,Chambersburg
"Charleston, WV M.S.A.",530.3,8.1,52.9,93.1,376.1,"3,597.10",783.4,"2,533.80",279.8,WV,Charleston
"Charleston-North Charleston, SC M.S.A.",399,8.5,39,77.1,274.4,"2,860.10",546,"2,081.40",232.6,SC,Charleston
"Charlottesville, VA M.S.A.",164.6,1.3,35.5,31.5,96.3,"1,514.50",252.2,"1,199.20",63,VA,Charlottesville
"Chattanooga, TN-GA M.S.A.",529.9,5.8,36.1,81.1,406.9,"3,418.30",662.9,"2,476.10",279.3,TN,Chattanooga
"Cheyenne, WY M.S.A.",177.4,7.2,17.5,,143.4,"2,581.90",443.6,"1,997.00",141.3,WY,Cheyenne
"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.",377.6,7.1,30.8,137.1,202.6,"2,013.90",328.9,"1,520.20",164.8,IL,Chicago
"Chicago-Naperville-Arlington Heights, IL M.D.",430.3,,32.8,160.8,228.9,"2,077.30",339.2,"1,554.10",183.9,IL,Chicago
"Elgin, IL M.D.",189.4,1.6,28.5,37.2,122,"1,342.20",188.1,"1,112.00",42.1,IL,Elgin
"Gary, IN M.D.",268.9,11.9,19.3,91.7,146,"2,560.70",440.2,"1,916.30",204.2,IN,Gary
"Lake County-Kenosha County, IL-WI M.D.",158.9,2.2,24,46.9,85.9,"1,527.60",254.9,,60.5,,Kenosha
"Chico, CA M.S.A.",345.6,3.1,52.4,65.3,224.8,"3,350.40",843.5,"2,086.30",420.6,CA,Chico
"Cincinnati, OH-KY-IN M.S.A.",259.4,4.6,37.2,104.4,113.1,,576.7,"2,077.80",126.5,OH,Cincinnati
"Clarksville, TN-KY M.S.A.",404.7,6,34.7,48.8,315.2,"2,410.70",488.2,"1,815.00",107.5,TN,Clarksville
"Cleveland, TN M.S.A.",483.1,6.6,25.7,40.6,,"3,323.90",615.7,"2,462.00",,TN,Cleveland
"Coeur d'Alene, ID M.S.A.",259.6,1.3,45.4,,190.9,"2,176.10",465.8,"1,592.90",117.4,ID,Coeur d'Alene
"College Station-Bryan, TX M.S.A.",315.5,4.5,59.9,46.2,204.9,"2,544.70",451.9,"1,982.60",110.1,TX,College Station
"Colorado Springs, CO M.S.A.",359.3,3.7,66,58.1,231.5,,432.9,"2,135.20",281.7,CO,Colorado Springs
"Columbia, MO M.S.A.",430.2,3.4,53.6,90.2,283,"2,684.60",582.6,"1,933.70",168.3,MO,Columbia
"Columbia, SC M.S.A.",650.6,6.9,49.7,99.3,494.7,"3,464.00",627.8,"2,466.40",,SC,Columbia
"Columbus, GA-AL M.S.A.",468.7,6.9,37.3,195.3,229.2,,"1,019.80","2,914.00",406.9,GA,Columbus
"Columbus, IN M.S.A.",108.6,1.2,33.3,24.7,49.4,"3,286.70",459.1,"2,582.00",245.6,IN,Columbus
"Columbus, OH M.S.A.2",298,4.7,56.9,134.7,101.7,"2,869.30",588.6,"2,082.90",197.8,OH,Columbus
